rank,Ipo name,Start date,last date,current gmp,retail lot size,Est. profit/lot
1,Rentomojo,09-Sep,11-Sep,141.0,37,5217.0
2,Kanohar Electricals,08-Sep,10-Sep,225.0,23,5175.0
3,LCC Projects,09-Sep,11-Sep,49.0,102,4998.0
4,Glass Wall Systems,08-Sep,10-Sep,51.0,82,4182.0
5,Karamtara Engineering,09-Sep,11-Sep,67.0,59,3953.0
6,Steamhouse,09-Sep,11-Sep,20.0,185,3700.0
7,Veegaland Developers,10-Sep,15-Sep,25.0,107,2675.0
8,Asset Reconstruction,09-Sep,11-Sep,13.0,107,1391.0
9,Manipal Payment and Identity Solutions,09-Sep,11-Sep,8.0,44,352.0
10,Prasol Chemicals,08-Sep,10-Sep,,22,
